id_onderzoeker;id_data;lengte;breedte;sexse
1;11;16,3;9,1;vrouw
2;11;16,3;9;vrouw
1;17;16,4;9,9;vrouw
2;17;16,4;9,8;vrouw
1;18;16,6;9;vrouw
2;18;16,6;9;vrouw
1;25;16,8;9,2;vrouw
2;25;16,9;9,2;vrouw
1;23;17,3;9,7;vrouw
2;23;17,3;9,7;vrouw
1;31;17,5;9,2;vrouw
2;31;17,5;9,2;vrouw
1;1;17,7;8,6;vrouw
2;1;17,7;8,5;vrouw
1;2;17,8;9,8;vrouw
2;2;17,7;9,8;vrouw
1;19;17,8;9,8;vrouw
2;19;17,7;9,8;vrouw
1;13;17,8;9,6;vrouw
2;13;17,9;9,6;vrouw
1;27;17,9;9,6;vrouw
2;27;17,9;9,6;vrouw
1;38;18;9,6;vrouw
2;38;18;9,5;vrouw
1;24;18,3;9,7;vrouw
2;24;18,3;9,7;vrouw
1;12;18,4;9,9;vrouw
2;12;18,4;9,8;vrouw
1;29;19,3;9,9;vrouw
2;29;19,3;9,9;vrouw
1;28;17,4;9,1;vrouw
2;28;17,4;9;vrouw
1;39;17,7;9;vrouw
2;39;17,7;9;vrouw
1;26;18,3;9,6;vrouw
2;26;18,3;9,6;vrouw
1;25;18,7;10;vrouw
2;25;18,7;10;vrouw
1;30;18,7;9,3;vrouw
2;30;18,7;9,3;vrouw
1;4;19,7;10,5;man
2;4;19,8;10,6;man
1;5;19;10,7;man
2;5;19;10,8;man
1;6;19,5;10,4;man
2;6;19,5;10,4;man
1;7;20,2;11,2;man
2;7;20,3;11,2;man
1;8;19,4;10,4;man
2;8;19,4;10,4;man
1;9;18,6;10,5;man
2;9;18,6;10,4;man
1;10;18,7;9,7;man
2;10;18,6;9,8;man
1;14;18,6;9,8;man
2;14;18,6;9,9;man
1;15;19,8;10,6;man
2;15;19,8;10,6;man
1;16;20,6;11,4;man
2;16;20,7;11,4;man
1;20;21,2;11;man
2;20;21,2;11;man
1;21;19,4;10,5;man
2;21;19,4;10,3;man
1;22;18,6;10,6;man
2;22;18,6;10,6;man
1;32;20,5;9,8;man
2;32;20,4;9,8;man
1;33;18,5;9,6;man
2;33;18,5;9,6;man
1;34;18,4;9,5;man
2;34;18,4;9,4;man
1;35;18,7;10,4;man
2;35;18,6;10,4;man
1;36;20,4;10,5;man
2;36;20,4;10,5;man
1;40;19,6;8,7;man
2;40;19,5;8,7;man
1;37;18,5;11,4;man
2;37;18,5;11,4;man
1;3;18,9;10,8;man
2;3;18,9;10,8;man
